uri,room_count,floor,max_floor,street,house_number,general_area,intersection,microdistrict,building_type,kitchen_area,living_area,condition,build_year,residential_complex,city,district,telephone,internet,balcony,is_balcony_glazed,door,bathroom,parking,furniture,floor_type,former_hostel,ceiling_height,bars_on_the_window,security,entry_phone,code_lock,alarm,video_security,video_entry_phone,concierge,exchange_possible,plastic_windows,non_angular,improved,rooms_isolated,studio_kitchen,kitchen_builtin,new_plumbing,pantry,counters,quiet_courtyard,air_conditioning,commercial_convenient,price,mortgaged,images_count,private_hostel,text
https://krisha.kz//a/show/679133352,2,3,9,Райымбек батыра,289,55.0,nan,nan,nan,nan,nan,хорошее,2022,nan,Алматы,Медеуский,nan,nan,nan,False,nan,совмещенный,nan,nan,ламинат,False,nan,False,False,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,35000000,False,20,False,"Продам 2х комнатную квартиру, мебилерованая, все документы на руках. без залога и проблем."
https://krisha.kz//a/show/678649533,2,2,10,Кенесары хана,54/34,52.0,nan,nan,монолитный,nan,nan,хорошее,2013,Хан Тенгри,Алматы,Наурызбайский,отдельный,оптика,nan,False,металлическая,совмещенный,nan,nan,ламинат,False,2.9,False,True,True,False,False,True,False,False,False,False,True,True,True,True,False,True,True,True,True,False,False,37800000,False,13,False,"Неугловая, улучшенная, комнаты изолированы, кухня-студия, новая сантехника, кладовка, счётчики, тихий двор.
Отличная квартира с хорошим качественным ремонтом! Вся мебель и техника новая. Вся техника на гарантии."
https://krisha.kz//a/show/678408751,3,12,21,Аскарова,4,114.0,nan,nan,монолитный,nan,nan,хорошее,2017,Apple Town,Алматы,Ауэзовский,отдельный,оптика,лоджия,True,металлическая,2 с/у и более,паркинг,nan,ламинат,False,2.9,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,124550000,False,11,False,"Продаётся квартира в ЖК Apple Town. 
Один из лучших ЖК в городе Алматы. 
Рядом есть все необходимое для комфортной жизни. Квартира продаётся полностью меблированной. Просьба риэлторов не беспокоить."
https://krisha.kz//a/show/677871131,2,nan,nan,6 этаж,nan,58.3,nan,nan,монолитный,nan,nan,nan,2023,Everest,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,False,3.0,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,36500000,False,0,False,"Продам 2х комнатную квартиру в новом жилом комплексе Everest, потолки 3м, удобный район, окна выходят во двор и вид на горы! 
Срочно Торг"
https://krisha.kz//a/show/674007024,4,4,5,nan,nan,84.0,Черепанова,Таугуль-2,панельный,nan,nan,среднее,1993,nan,Алматы,Ауэзовский,nan,nan,nan,False,nan,nan,nan,nan,nan,False,nan,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,51500000,False,16,False,None
https://krisha.kz//a/show/675026839,5,3,3,nan,nan,200.0,nan,Мирас 55,монолитный,nan,nan,nan,2020,Hyde Park,Алматы,Бостандыкский,nan,оптика,nan,True,nan,2 с/у и более,паркинг,nan,паркет,False,3.2,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,400000000,False,13,False,"Неугловая, кондиционер, комнаты изолированы.
ЖК HYDE PARK; 
Застройщик BI-Group; 
5 отдельных комнат, большая кухня, постирочная, автономное отопление, продаётся вместе с паркингом гаражного типа на 2 машины и кладовкой; 
Авторский дизайн; 
Умный дом (свет, шторы, датчики) ; 
Полностью мебелирована; 
Вся бытовая техника укомплектована; 
Использованы премиальные отделочные материалы; 
Полностью оборудованная кухня немецкой марки Nolte, техника Miele (холодильник, большой морозильник, посудомоечная машина, духовка, пароварка и винный шкаф); 
Паркетная доска; 
Мебель элитных мировых брендов; 
Квартира приобреталась и ремонтировалась «для себя»."
https://krisha.kz//a/show/678926175,3,7,12,Манаса,22/3,96.0,Абая,nan,монолитный,nan,nan,хорошее,2020,Legenda,Алматы,Алмалинский,nan,nan,nan,False,nan,2 с/у и более,паркинг,nan,паркет,False,3.0,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,False,True,False,True,False,102000000,True,11,False,"Пластиковые окна, улучшенная, комнаты изолированы, кухня-студия, встроенная кухня, новая сантехника, счётчики, кондиционер.
Продается 3-комнатная квартира, ЖК Легенда, в связи с выездом на ПМЖ в другую страну. Ремонт, сантехника villeroy boch, полы-керамогранит и паркетная доска. встроенная кухня. Сообщения только, не в стране."
https://krisha.kz//a/show/675037932,1,5,5,Хадж имукана,16/1,32.0,nan,Самал-3,кирпичный,9.0,nan,nan,1999,nan,Алматы,Медеуский,отдельный,оптика,nan,True,металлическая,совмещенный,рядом охраняемая стоянка,nan,ламинат,False,2.0,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,27900000,False,8,False,"Евроремонт пластиковые окна. вид на горы! 
кухня студия, варианты обмена на дом, или 2 комнатную квартиру плюс моя доплата"
https://krisha.kz//a/show/673704628,1,4,5,nan,nan,33.0,nan,№11 34,панельный,nan,nan,nan,1974,nan,Алматы,Ауэзовский,nan,nan,nan,False,nan,nan,nan,nan,nan,False,nan,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,23000000,False,6,False,None
https://krisha.kz//a/show/676976501,3,10,16,Жуалы,11,128.0,nan,Шугыла,монолитный,nan,nan,хорошее,2012,Премьера,Алматы,Наурызбайский,нет,проводной,лоджия,True,металлическая,2 с/у и более,паркинг,nan,ламинат,False,2.8,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,True,False,True,True,True,False,49500000,False,8,False,"Кондиционер, улучшенная, комнаты изолированы, встроенная кухня, новая сантехника, счётчики, тихий двор.
Или обмен на 2-х комнатную в этом ЖК с Вашей доплатой"
https://krisha.kz//a/show/678909269,2,4,4,Валиханова,nan,41.9,Мамедова,nan,панельный,6.0,nan,среднее,1970,nan,Алматы,Медеуский,nan,nan,nan,False,nan,nan,nan,nan,nan,False,nan,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,28000000,False,7,False,"Квартира в хорошем районе, развитая инфраструктура, зелёный базар, школы, мечеть. Прямая продажа от хозяев, торг уместен."
https://krisha.kz//a/show/678932669,1,2,9,nan,nan,54.0,Рядом с КарСити,Аксай-1А 27,монолитный,nan,nan,nan,2006,nan,Алматы,Ауэзовский,отдельный,nan,nan,False,металлическая,совмещенный,рядом охраняемая стоянка,nan,ламинат,False,2.8,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,30000000,False,6,False,"Пластиковые окна, неугловая, тихий двор.
Все вопросы по телефону"
https://krisha.kz//a/show/678672088,1,5,13,Журавлева,26,31.5,Гагарина,nan,монолитный,nan,nan,свободная планировка,2022,Four Seasons,Алматы,Бостандыкский,nan,nan,nan,False,металлическая,nan,паркинг,nan,nan,False,3.0,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,28500000,False,2,False,"Квартира сдана в эксплуатацию! квартира 31.5 кв. м. 
расположение южнее улицы Журавлёва, восточнее улицы Кекилбайулы. вид на горы. 
 район с развитой инфраструктурой и удобным расположением для выезда в любую точку города. рядом ТРЦ ""MEGA Center"", детские сады и школы (№199, №63, №10, №9). недалеко Парк Первого Президента, Южный парк. 
Высота потолков 3 м витражными окнами. 
Квартира в черновой отделке в свободной планировке."
https://krisha.kz//a/show/677599557,3,4,5,nan,nan,76.0,nan,Боралдай,nan,12.0,nan,хорошее,1993,nan,Алматы,Алатауский,nan,проводной,nan,True,металлическая,раздельный,паркинг,частично,линолеум,False,2.8,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,True,True,False,25000000,False,8,False,"Кондиционер, пластиковые окна, неугловая, кладовка, счётчики, тихий двор.
Квартиру. В связи с переездом в частный сектор. квартира собственность. Приватизирован. 3 комнатная. есть кладовка для хранения вещей, зимних солении. 2 балкона лоджии. Кондиционер. Парковка большая. Детская игровая площадка. Магазины есть"
