uri,room_count,floor,max_floor,street,house_number,general_area,intersection,microdistrict,building_type,kitchen_area,living_area,condition,build_year,residential_complex,city,district,telephone,internet,balcony,is_balcony_glazed,door,bathroom,parking,furniture,floor_type,former_hostel,ceiling_height,bars_on_the_window,security,entry_phone,code_lock,alarm,video_security,video_entry_phone,concierge,exchange_possible,plastic_windows,non_angular,improved,rooms_isolated,studio_kitchen,kitchen_builtin,new_plumbing,pantry,counters,quiet_courtyard,air_conditioning,commercial_convenient,price,mortgaged,images_count,private_hostel,text
https://krisha.kz//a/show/678578073,3,5,5,nan,nan,88.0,Чуланова,Акбулак 149,монолитный,14.0,nan,хорошее,2010,nan,Алматы,Алатауский,nan,оптика,лоджия,True,металлическая,раздельный,nan,nan,ламинат,False,nan,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,47000000,False,10,False,"Продам квартиру на 5 этаже из 5, очень тёплая, уютная, удобная планировка квартиры, раздельный сан узел, Кухня 13, 7 кВ. м., общая 87, 8 кВ. м., Долгов нет, все оплачивается по счетчикам."
https://krisha.kz//a/show/679565052,2,16,16,Гагарина проспект,124,87.4,Абая,nan,монолитный,nan,55.3,nan,2019,Дом на Абая,nan,nan,nan,nan,nan,False,nan,nan,nan,nan,nan,False,nan,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,166200000,False,32,False,"Предлагается на продажу квартира в ЖК ""Дом на Абая"" 
- Двухкомнатная квартира общей площадью 87,4 кв. м 
с видом на город и горы. 
- Авторский дизайн 
- Встроенная бытовая техника Bosch; 
- Система климат-контроля в каждой комнате."
https://krisha.kz//a/show/679210670,3,1,5,nan,nan,64.0,Жандосова Берегового,Таугуль-1 48,панельный,6.0,nan,nan,1986,nan,Алматы,Ауэзовский,есть возможность подключения,проводной,nan,True,бронированная,раздельный,рядом охраняемая стоянка,nan,линолеум,False,2.8,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,39500000,False,14,False,"Продам 3х комнатную квартиру в микрорайоне Таугуль квартира чистая после ремонта, светлая ухоженная, цоколь высокий, теплая так как все коммуникации проходят под полом, реальному покупателю торг"
https://krisha.kz//a/show/672979133,4,5,5,Шагабутдинова,nan,80.6,Толе би,nan,кирпичный,9.0,nan,хорошее,1981,nan,Алматы,Алмалинский,отдельный,оптика,балкон,True,деревянная,раздельный,nan,полностью,линолеум,False,2.7,False,False,True,False,False,True,False,False,True,True,True,True,True,False,False,False,False,True,True,False,False,54000000,False,12,False,"Пластиковые окна, неугловая, улучшенная, комнаты изолированы, счётчики, тихий двор.
Развитая инфраструктура, свежий ремонт. В шаговой доступности супермаркеты: Magnum, Small, Interfood, магазины: Intertop, Beautymania, Abdi, Бисквит, банки: Kaspi, Halyk, Altyn, базары Стрела, Никольский, рестораны, аптеки, школы, детские сады, университеты, торговые центры: City Center, Silk WAy City, Mega Park. 
 
4 комнату не сфотографировали, так как на данный момент используем как склад. 
Можно оформить через ипотеку. Можно рассмотреть обмен. 
 
Риелторов и перекупщиков просьба не беспокоить!"
https://krisha.kz//a/show/678845965,3,5,10,Бухар Жырау,35,85.0,nan,nan,монолитный,nan,nan,nan,2019,Престиж,Алматы,Бостандыкский,nan,nan,nan,False,nan,nan,nan,nan,nan,False,3.0,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,105000000,False,2,False,"Кухня студия, шикарный панорамный вид на горы со всех окон. Невысокий этаж, отдельная прачка."
https://krisha.kz//a/show/679008500,2,10,18,Навои,208,72.0,Торайгырова,nan,кирпичный,nan,nan,хорошее,2017,Шахристан,Алматы,Бостандыкский,nan,nan,nan,True,nan,совмещенный,паркинг,nan,nan,False,2.95,False,True,True,True,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,58500000,False,11,False,"Светлая, просторная квартира. Окна смотрят на речку есентай и в трц Мегу. отличная продуваемость. классный жк. Город в городе. в жк есть все для комфортной жизни и взрослым и детям. риэлторов просим не беспокоить."
https://krisha.kz//a/show/678679575,2,5,9,Б,nan,44.5,nan,nan,монолитный,nan,nan,nan,2017,Уш Сункар,Алматы,Ауэзовский,nan,nan,лоджия,False,металлическая,совмещенный,паркинг,nan,ламинат,False,2.65,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,32000000,True,19,False,"Продаётся 2х комнатная квартира в ЖК Ушсункар. В хорошем состоянии. Удобное расположение. Рядом рынок Арыстан, мед. центры, аптеки, пекарни, кафе, ТРЦ, метро, поликлиника, школы, Сулпак, университет Нархоз. Тихий двор, хорошие соседи. Цена договорная. 
Лоджия просторная. В залоге. Лифт скоростной. 
Пишите, звоните. 
Квартира от хозяина."
https://krisha.kz//a/show/679008172,2,7,9,Село Бесагаш,nan,55.0,nan,nan,монолитный,nan,nan,черновая отделка,2022,nan,Алматы,Медеуский,nan,nan,nan,False,nan,nan,nan,nan,nan,False,2.7,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,25000000,False,12,False,"Неугловая.
Представляем Вашему вниманию 2 комнатную квартиру с улучшенной планировкой от застройщика Time Group Construction. 
Жилой комплекс Nuria расположен в экологически чистом районе, вдали от городской суеты, тишина и чистый горный воздух, рядом с Талгарским трактом. 
 
Преимущества: 
✅ Площадь 54, 6 кв. м., большая площадь квартиры позволяет перепланировать квартиру на евродвушку 
✅ Черновая отделка, требует ремонта, но вы всегда сможете внести свои изменения в дизайн квартиры по своему усмотрению 
 ✅ Удобная планировка квартиры 
✅ Неугловая, средний этаж, есть балкон 
✅ Окна выходят во двор, на запад 
✅ На территории комплекса детские и спортивные площадки, зоны отдыха и Workout 
✅ Вдоль гор, 200 метров от главной магистрали, шума машин не слышно 
✅ Прокладывается сеть проездов, дорожек для пешеходов и прогулочных аллей, производится озеленение деревьями и декоративными кустарниками Окружающая инфраструктура Рядом с жилым комплексом вся необходимая инфраструктура, школы, детские сады, социальные объекты. 
✅ В 15-ти минутах ходьбы школа №172, ясли сад №66 
✅ В 10-ти минутной шаговой доступности супермаркет «Магнум», рынок 
✅ Спортивный комплекс «Халык Арена», Алматинская многопрофильная клиническая больница (областная больница), мед. центр «Сункар», рестораны, мечеть, автоцентры Nissаn, Rinаult Прекрасная транспортная развязка, восточная объездная дорога, позволяет жителями быстро добираться в любой район мегаполиса. Автобусы № 23, 54, 65, 37, 50, 4, 11, 17, 20, 204, 207, 224, 60, 8, 59, 69; 
✅ Полный пакет документов. Возможно ипотечное кредитование. 
За более подробной информацией звоните в любое удобное для Вас время 
документы на руках."
https://krisha.kz//a/show/669211284,4,5,9,Мендикулова,105,131.0,Джолдасбекова,Самал-2,монолитный,15.0,83.0,хорошее,2009,Фантазия,Алматы,Медеуский,есть возможность подключения,оптика,несколько балконов или лоджий,True,бронированная,2 с/у и более,паркинг,частично,ламинат,False,3.0,False,True,True,True,True,True,True,False,False,True,False,True,True,False,True,False,True,True,True,True,False,142500000,False,76,False,"Пластиковые окна, улучшенная, комнаты изолированы, встроенная кухня, кладовка, счётчики, тихий двор, кондиционер.
Квадратура (площадь) квартиры РЕАЛЬНАЯ! Техплан строго соответствует внутренней планировке! 
 
Свежий Ремонт! 
 
4-х комнатная квартира с 2-мя санузлами и 2-мя лоджиями. Вид на Рамстор, внутренний двор, Самал-1 и Музей Истории. Две бронированные двери. 
 
Встроенная Итальянская кухонная мебель ""Тоскана"", от фирмы ""Жанна"" со всеми бытовыми приборами немецкой фирмы ""KAISER"" : Плита, Духовка, Вытяжка, посудомоечная Машина. 
 
Встроенная Итальянская мебель шкафы в Гостиной и в коридоре. Встроенные шкафы в санузлах. Спальная Итальянская мебель. 
 
4 кондиционера. Выведены соединения для видео наблюдения и записи."
https://krisha.kz//a/show/678023439,2,3,4,nan,nan,78.0,Толе би,Коктобе 138,монолитный,nan,nan,черновая отделка,2022,Koktobe city,Алматы,Медеуский,nan,nan,лоджия,True,nan,2 с/у и более,nan,nan,nan,False,3.0,False,True,True,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,70000000,False,2,False,Продам 2-х комнатную квартиру в жк “Koktobe city”черновой отделке. Возможно переделать в трёх комнатную квартиру. В квартире 4 витражных окон.
https://krisha.kz//a/show/676210586,2,4,5,Гете,309,52.0,Магнитная,nan,nan,11.0,nan,хорошее,1991,nan,Алматы,Турксибский,отдельный,оптика,nan,True,nan,совмещенный,nan,частично,ламинат,False,2.8,True,False,True,False,False,False,False,False,True,True,True,True,True,False,True,True,False,True,True,True,False,30000000,False,12,False,"Кондиционер, пластиковые окна, неугловая, улучшенная, комнаты изолированы, встроенная кухня, новая сантехника, счётчики, тихий двор.
Установлен новый бойлер, 2 балкона, на окнах решётки для защиты детей, новые ролл шторы на всех окнах, 2 кондиционера, новые межкомнатные двери, ровный наливной пол, тихий двор. Перед домом большая парковочная площадь для авто (места всегда есть). Ремонт делали качественный, для себя. За окном ясли-сад #32, 2 школы. Рядом Алтай базар, Чайка, социальный базар по Суюнбая. для деток футбольный клуб Кайрат, развивашки. Близко Аэропорт, Алматы 1. 
квартира теплая, уютная, чистый подъезд, ухоженный двор с большими игровыми площадками. Подходит под ипотеку, документы в порядке. Можно приобрести для сдачи, доход 250 К в месяц. Рядом военный городок, под Аскери баспана подойдет. 
Возможно рассмотрим обмен на 3 комнатную квартиру или дом."
https://krisha.kz//a/show/679007970,3,5,10,Мкр Акбулак ул,35,89.0,Рыскулова,Акбулак,nan,19.0,nan,nan,2011,nan,Алматы,Алатауский,nan,через TV кабель,nan,False,nan,раздельный,nan,nan,ламинат,False,nan,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,46000000,True,18,False,None
https://krisha.kz//a/show/675171025,1,8,10,Сейфуллина,51,47.0,nan,nan,монолитный,nan,nan,свободная планировка,2021,Теремки,Алматы,Турксибский,nan,оптика,балкон и лоджия,False,металлическая,совмещенный,паркинг,nan,nan,False,2.7,False,False,True,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,25000000,False,4,False,"Пластиковые окна, неугловая, тихий двор.
Продаётся квартира общей площадью 47 кв. м в свободной планировке в ЖК Теремки в черновом варианте по улице Сейфуллина на углу с ул. Кассина. Развитая инфраструктура: школы #61, 77, 49, гимназии 83, 59, 101, гимназия Болашак, лицей 71, детские сады 15, 173, ясли 127, 131, 70, 65, торговые Центры март, NR, 20 минут езды до делового центра Алматы и международного аэропорта, 5 минут езды до ж/ДО вокзала Алматы 1.ВОЗМОЖЕН обмен на равнаценную в городе Астаны"
https://krisha.kz//a/show/679565300,3,3,5,Шагабутдинова,nan,52.3,nan,nan,панельный,nan,nan,хорошее,1973,nan,Алматы,Алмалинский,отдельный,ADSL,балкон,True,металлическая,раздельный,рядом охраняемая стоянка,частично,ламинат,False,2.8,True,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,35500000,False,4,False,"Пластиковые окна, неугловая, улучшенная.
Продается светлая, уютная квартира в центре города, в хорошем состоянии. В тихом, спокойном районе, в шаговой доступности есть минимаркет, клиника, торговый дом, салон красоты, рестораны. Имеются пластиковые окна, кондиционер, две входные двери. Торг имеется."
