uri,room_count,floor,max_floor,street,house_number,general_area,intersection,microdistrict,building_type,kitchen_area,living_area,condition,build_year,residential_complex,city,district,telephone,internet,balcony,is_balcony_glazed,door,bathroom,parking,furniture,floor_type,former_hostel,ceiling_height,bars_on_the_window,security,entry_phone,code_lock,alarm,video_security,video_entry_phone,concierge,exchange_possible,plastic_windows,non_angular,improved,rooms_isolated,studio_kitchen,kitchen_builtin,new_plumbing,pantry,counters,quiet_courtyard,air_conditioning,commercial_convenient,price,mortgaged,images_count,private_hostel,text
https://krisha.kz//a/show/674434850,3,5,5,nan,nan,58.0,Левитана,Алмагуль,панельный,6.0,nan,хорошее,1978,nan,Алматы,Бостандыкский,отдельный,ADSL,nan,True,металлическая,совмещенный,рядом охраняемая стоянка,nan,ламинат,False,2.5,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,36500000,False,5,False,"Пластиковые окна, неугловая, счётчики, тихий двор.
Квартира уютная, светлая, чистая. рядом находятся школы, аптеки, магнум, цон. экологический чистый район. не в залоге. документы в порядке."
https://krisha.kz//a/show/679481912,1,2,12,nan,nan,35.0,Момышулы Байтерекова,Акбулак 87,монолитный,nan,nan,хорошее,2020,Алмалы,Алматы,Алатауский,есть возможность подключения,проводной,лоджия,False,металлическая,совмещенный,nan,nan,ламинат,False,2.7,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,23000000,False,12,False,Реальному покупателю торг
https://krisha.kz//a/show/678928917,2,8,9,Жунисова,nan,52.8,nan,nan,монолитный,nan,nan,свободная планировка,2021,Alma City,Алматы,Наурызбайский,nan,nan,несколько балконов или лоджий,False,nan,nan,рядом охраняемая стоянка,nan,nan,False,2.8,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,25500000,False,15,False,None
https://krisha.kz//a/show/679306193,4,9,19,Аль,nan,140.0,nan,nan,монолитный,18.0,nan,nan,2020,Metropole,Алматы,Бостандыкский,nan,nan,лоджия,True,бронированная,2 с/у и более,паркинг,nan,паркет,False,3.0,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,240000000,False,12,False,Квартира в идеальном состоянии
https://krisha.kz//a/show/679116367,2,1,2,Самал,24/2,69.5,nan,Алгабас,иное,nan,nan,хорошее,2006,nan,Алматы,Алатауский,nan,ADSL,nan,False,металлическая,раздельный,паркинг,nan,линолеум,False,nan,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,38000000,False,10,False,"Пластиковые окна, улучшенная, тихий двор."
https://krisha.kz//a/show/679306117,1,2,5,Сейфуллина,nan,36.0,nan,nan,кирпичный,84.0,nan,хорошее,1994,nan,Алматы,Турксибский,отдельный,оптика,балкон,True,металлическая,совмещенный,nan,nan,линолеум,False,2.8,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,28000000,False,15,False,"Пластиковые окна, неугловая, встроенная кухня, новая сантехника.
Пластиковые окна, неугловая, тихий двор, новая сантехника, горячая вода через бойлер, встроенная кухня, купе-шифонер. Очень теплая! Кирпичный дом! Ремонт свежий, сделан 2021г. Рядом Магнум, март, МАКДОНАЛЬДС, Акжол, Эльнас, базар, стадион, спортивный комплекс Аблай Хан, парк, сквер, вокзал, есть школы, детские сады, акимат, поликлиника, новая пешеходная улица (Арбат), а также все что необходимо находится в шаговой доступности. Дружелюбные соседи, транспорт до любой точки города."
https://krisha.kz//a/show/679116301,6,9,12,Тажибаевой,nan,135.0,Розыбакиева,nan,монолитный,nan,nan,хорошее,2019,ELEMENT,Алматы,Бостандыкский,nan,ADSL,лоджия,False,металлическая,2 с/у и более,паркинг,nan,ламинат,False,3.0,False,True,True,False,True,True,True,False,False,True,True,True,True,False,False,False,True,False,True,True,False,255000000,False,45,False,"Пластиковые окна, тихий двор, кондиционер, неугловая, улучшенная, комнаты изолированы, кладовка.
Большая, светлая квартира. Две квартиры объединены, есть кладовое помещение. Возведены стены из прочного гипсокартона. Рядом ТРЦ Mega Center Alma-Ata, университеты, детские сады, колледжи, школы, магазины, рестораны, фитнес-залы (MegaGym, Fitnation). Имеются 2 подземных паркингов, вид на футбольное поле. Удобное расположение, дружелюбные соседи. На территории будет большой парк."
https://krisha.kz//a/show/678928766,2,8,9,nan,nan,79.0,nan,Аксай-1А 17,монолитный,18.0,nan,хорошее,2006,nan,Алматы,Ауэзовский,nan,оптика,балкон,False,бронированная,2 с/у и более,nan,nan,ламинат,False,2.8,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,45000000,False,12,False,"Только после Евро ремонта, Вся техника и Мебель новая (дорогая), делали ремонт для себя. торг в разумных пределах"
https://krisha.kz//a/show/678381203,1,4,8,nan,nan,39.2,Северное кольцо,Ожет,монолитный,11.5,nan,черновая отделка,2023,nan,Алматы,Алатауский,nan,проводной,балкон,False,металлическая,совмещенный,nan,nan,nan,False,3.0,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,18000000,False,3,False,"Пластиковые окна.
Дом комфорт класса высота потолков 3м и состоится она из 6 блоков /8 этажей. Удобный и продуманный планировка. сдача 1 квартал 2023года. Перспективный и развивающий район. Детский сады и школы рядом. Рынок Кенжехан."
https://krisha.kz//a/show/679306030,2,7,10,Наурызбай батыра,2,64.5,nan,nan,монолитный,nan,nan,nan,2022,nan,Алматы,Бостандыкский,nan,nan,nan,False,nan,2 с/у и более,nan,nan,nan,False,3.0,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,53000000,False,3,False,"Продаётся квартира в ЖК ORTAU, которая находится в центральной части города Алматы, в экологически чистом районе Керемет, Сейфуллина – Сатпаева. Несмотря на то, что комплекс расположен на тихой и уютной улице, в шаговой доступности — большое количество крупных бизнес-центров, кафе, ресторанов, торгово-развлекательных и учебных заведений. ТРЦ Forum Алматы. Парк развлечений Мир Фантазий. Университет Туран. Центральный стадион 
Кроме того, здесь очень хорошая транспортная развязка, которая позволит легко и быстро добраться в любую часть города."
