uri,room_count,floor,max_floor,street,house_number,general_area,intersection,microdistrict,building_type,kitchen_area,living_area,condition,build_year,residential_complex,city,district,telephone,internet,balcony,is_balcony_glazed,door,bathroom,parking,furniture,floor_type,former_hostel,ceiling_height,bars_on_the_window,security,entry_phone,code_lock,alarm,video_security,video_entry_phone,concierge,exchange_possible,plastic_windows,non_angular,improved,rooms_isolated,studio_kitchen,kitchen_builtin,new_plumbing,pantry,counters,quiet_courtyard,air_conditioning,commercial_convenient,price,mortgaged,images_count,private_hostel,text
https://krisha.kz//a/show/678197450,3,11,21,Аскарова,nan,98.0,nan,nan,монолитный,nan,nan,nan,2012,Apple Town,Алматы,Ауэзовский,отдельный,ADSL,лоджия,False,nan,2 с/у и более,паркинг,nan,nan,False,2.8,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,105000000,False,3,False,"Светлая, просторная, ухоженная, уютная квартира"
https://krisha.kz//a/show/679227556,1,4,9,Райымбека,590/1,35.0,Жуалы,nan,монолитный,nan,nan,хорошее,2021,Nurly Dala,Алматы,Наурызбайский,есть возможность подключения,ADSL,балкон,True,металлическая,совмещенный,nan,nan,ламинат,False,2.6,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,21500000,False,5,False,"Пластиковые окна, новая сантехника, счётчики.
Продам однокомнатную квартиру, можно через ипотеку, близко к остановке, хорошие соседи."
https://krisha.kz//a/show/679582046,2,1,4,Айманова,nan,40.0,Тимирязева,nan,панельный,6.0,nan,nan,1974,nan,Алматы,Бостандыкский,есть возможность подключения,ADSL,nan,False,nan,совмещенный,рядом охраняемая стоянка,nan,линолеум,False,2.6,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,34000000,True,9,False,"Срочно! продается 2-х комнатная квартира в крепком кирпичном доме. Квартира не угловая, теплая и уютная. Толщина стен позволяет не слышать соседей, а так же прохлада летом, тепло зимой. 
 
КОМФОРТНЫЙ район для проживания. Зелёная аллея, зелёные парки Атакент Ботанический сад находятся рядом. Известные школы гимназии, детские садики и образовательные центры, Акимат, Цон, Налоговая, ТРЦ. Все Маршруты в любую часть города 
 
Квартира в залоге в ЖССБ. Можете тоже оформить в ипотеку там же в ЖССБ. 
 
Удачной Вам Покупки."
https://krisha.kz//a/show/679582025,2,5,5,Жарокова,286,45.0,nan,Алмагуль,кирпичный,8.0,nan,среднее,1987,nan,Алматы,Бостандыкский,nan,nan,лоджия,True,деревянная,раздельный,рядом охраняемая стоянка,nan,линолеум,False,2.7,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,31000000,False,6,False,"Тихий двор, хорошие соседи."
https://krisha.kz//a/show/679027978,1,4,6,Алатау,16к1,41.0,Пр,nan,монолитный,nan,nan,черновая отделка,2022,Alma City,Алматы,Наурызбайский,nan,nan,nan,False,nan,nan,nan,nan,nan,False,2.8,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,21000000,False,7,False,В черновой отделке. ключи на руках. ЖК расположен напротив ТРЦ Апорт. На площадке всего по 4 квартиры. В 2024 году рядом будет проходить конечная станция метро. Ипотеку рассматриваем.
https://krisha.kz//a/show/679027931,1,4,9,nan,nan,44.0,nan,Шугыла 342,монолитный,8.0,nan,хорошее,2019,Шугыла,Алматы,Наурызбайский,nan,проводной,балкон,False,металлическая,совмещенный,паркинг,nan,линолеум,False,2.7,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,25000000,False,10,False,Жк Шугыла состояние хорошое
https://krisha.kz//a/show/679227461,2,3,5,Коктем,nan,45.0,nan,Коктем-1,панельный,6.0,nan,хорошее,1976,nan,Алматы,Бостандыкский,отдельный,через TV кабель,балкон,False,металлическая,совмещенный,nan,nan,линолеум,False,3.0,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,37000000,False,3,False,"Продается квартира в лучшем районе города Алматы! Рядом садики, школы, университеты, парки, скверы, супермаркет, атакент, рфмш, казну. Транспортная развязка во все направления города. благоустроен двор. Безопасный район. лучшее решения для приобретения как жить самим, так и для коммерции. успейте купить."
https://krisha.kz//a/show/679027733,2,2,4,Навои,320,45.0,Навои,Орбита-2,панельный,10.0,nan,хорошее,1973,nan,Алматы,Бостандыкский,отдельный,nan,лоджия,True,металлическая,раздельный,nan,nan,ламинат,False,3.0,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,37000000,False,13,False,"Риэлторов прошу не беспокоить! 
Продаётся 2-х комнатная квартира, не угловая, лоджия, тёплая, чистая аура, тихий двор, хорошие соседи, на площадке 3 квартиры, высокие потолки, отличное месторасположение дома, частично меблированная, свежий ремонт, встроенная кухня, новая техника (газ. плита, духовка Electrolux, посудомоечная машина), рядом с ТЦ Мега, речка."
https://krisha.kz//a/show/679581712,1,10,12,проспект Абая,165,42.68,Тургут Озала,nan,монолитный,11.0,nan,nan,2022,O'NER,Алматы,Бостандыкский,nan,nan,nan,False,nan,nan,nan,nan,nan,False,2.7,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,33100000,False,2,False,Онер 2.2 очередь! Ключи в марте 2023 год
https://krisha.kz//a/show/679355772,3,3,4,Саина,26,58.0,Кабдолова,nan,панельный,nan,nan,хорошее,1970,nan,nan,nan,nan,оптика,балкон,False,бронированная,раздельный,рядом охраняемая стоянка,полностью,ламинат,False,2.78,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,True,True,False,34000000,False,3,False,"Пластиковые окна, комнаты изолированы, новая сантехника, счётчики, тихий двор, кондиционер.
Пластиковые окна, улучшенная, комнаты изолированы, новая сантехника, счётчики, тихий двор, кондиционер. 
Квартиру с удобным месторасположением, рядом все необходимое (магазины, аптеки, ТРЦ) Со свежим ремонтом, светлая, уютная, подъезд с выходом на 2 стороны, тихий двор, во дворе площадка для детей, футбольное поле, место для машин. 
 
Риелторам не беспокоить, не тратьте мое и свое время."
https://krisha.kz//a/show/678770686,2,4,4,nan,nan,40.41,nan,Рахат 1,монолитный,nan,nan,свободная планировка,2022,Nef Uptown,Алматы,Наурызбайский,nan,nan,балкон,False,nan,nan,паркинг,nan,nan,False,3.3,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,38500000,False,3,False,"Продается 2-х комн. квартира с террасой в ЖК Nef uptown. Первая очередь, пятый блок. Этаж 4 из 4. Потолки 3.3 метра, панорамные окна. 
ключи на руках, можно приступать к ремонту. 
 
ЖК элит класса, с концепцией-Fold Home, которая позволяет использовать индивидуальные зоны такие как: музыкальная студия, караоке, домашний кинотеатр, Play Station и т.д (всего 24 комнаты). 
 
продажа в связи с переездом."
https://krisha.kz//a/show/679581592,2,2,4,Валиханова,nan,43.0,Зеленый базар,nan,панельный,nan,nan,хорошее,1971,nan,Алматы,Медеуский,есть возможность подключения,проводной,балкон,True,металлическая,совмещенный,рядом охраняемая стоянка,nan,линолеум,False,2.7,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,34000000,False,11,False,С ремонтам
https://krisha.kz//a/show/676132948,3,3,3,nan,nan,95.0,nan,Дорожник,иное,10.0,57.0,хорошее,1973,nan,Алматы,Жетысуский,отдельный,оптика,несколько балконов или лоджий,True,металлическая,раздельный,nan,nan,nan,False,nan,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,False,40000000,False,15,False,"Пластиковые окна, неугловая, кладовка, счётчики, тихий двор.
Просторная квартира. Рядом детская площадка, сквер. Абсолютно бесшумная. Длинный коридор. Есть четвертая комната-кладовка. Окна и балконы выходят на обе стороны дома."
https://krisha.kz//a/show/679407934,4,1,4,Айтеке Би,nan,72.8,Муратбаева,nan,панельный,8.6,55.1,хорошее,1977,nan,Алматы,Алмалинский,есть возможность подключения,проводной,nan,False,бронированная,совмещенный,nan,частично,ламинат,False,2.5,True,False,True,False,False,True,False,False,False,True,True,True,True,False,True,True,False,False,True,True,True,70000000,False,7,False,"Пластиковые окна, неугловая, улучшенная, комнаты изолированы, встроенная кухня, новая сантехника, тихий двор, кондиционер, удобно под коммерцию.
Продам квартиру в хорошем районе. Район тихий, светлый, рядом школы, садики, базар, все в шаговой доступности."
