uri,room_count,floor,max_floor,street,house_number,general_area,intersection,microdistrict,building_type,kitchen_area,living_area,condition,build_year,residential_complex,city,district,telephone,internet,balcony,is_balcony_glazed,door,bathroom,parking,furniture,floor_type,former_hostel,ceiling_height,bars_on_the_window,security,entry_phone,code_lock,alarm,video_security,video_entry_phone,concierge,exchange_possible,plastic_windows,non_angular,improved,rooms_isolated,studio_kitchen,kitchen_builtin,new_plumbing,pantry,counters,quiet_courtyard,air_conditioning,commercial_convenient,price,mortgaged,images_count,private_hostel,text
https://krisha.kz//a/show/679378640,1,2,6,nan,nan,40.0,nan,Кокжиек,монолитный,10.0,nan,nan,2011,nan,Алматы,Жетысуский,есть возможность подключения,nan,nan,True,металлическая,совмещенный,рядом охраняемая стоянка,nan,линолеум,False,2.8,False,False,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,24000000,False,14,False,"Продается уютная однокомнатная квартира на втором этаже одного из лучших домов мкр. Кокжиек (застройщик Нико). Дом теплый, солнечная сторона, евроремонт, итальянские моющие обои. В жилой комнате останется встроенный большой шкаф купе, диван, встроенный кухонный гарнитур хорошего качества, комод, прихожая. Чистый, просторный, светлый подъезд позволяет оставлять детские коляски, велосипеды, самокаты. Действующая детская площадка, парковка для машин. Развитая инфраструктура (школа, детские сады, банк, ломбарды, аптеки, магазины, салоны красоты, баня, ресторан, базар, супермаркет. Городские автобусы 123, 125, 41, 70, 208."
https://krisha.kz//a/show/678342431,2,3,16,Тлендиева,nan,48.0,Сатпаева,nan,монолитный,nan,nan,требует ремонта,2022,Jazz-квартал,Алматы,Бостандыкский,nan,nan,лоджия,True,nan,совмещенный,nan,nan,nan,False,2.85,False,True,False,False,False,True,True,False,False,True,True,False,True,True,False,False,False,True,True,False,False,36900000,False,7,False,"Пластиковые окна, неугловая, комнаты изолированы, кухня-студия, счётчики, тихий двор.
Срочная продажа квартиры по переуступке прав! сдача дома осень 2022года. Только за наличный расчет!"
https://krisha.kz//a/show/678344744,2,3,13,Ходжанова,77/0,54.0,Альфараби,nan,монолитный,10.0,53.0,хорошее,2020,Rams Luxury,Алматы,Бостандыкский,есть возможность подключения,проводной,nan,False,бронированная,раздельный,nan,nan,ламинат,False,3.0,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,55000000,True,14,False,"Срочно продам квартиру ремонт, мебель, техника. Все входит в стоимость. После ремонта, чистая уютная"
https://krisha.kz//a/show/678891969,3,7,10,Толе би,285/8,65.0,Отеген батыра,nan,монолитный,nan,nan,хорошее,2022,CITY PLUS,nan,nan,nan,nan,балкон,True,металлическая,совмещенный,nan,полностью,ламинат,False,2.8,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,55000000,False,17,False,"Продам шикарную квартиру, с отличным ремонтом! Делали для себя! Кухня студия! Евротрешка! Окна выходят и во двор и на дорогу! Распашонка! На площадке 4 квартиры! 
Сантехника все дорогая, Grohe! Теплые полы, в ванной и на балконе! Ванна 190/80! Керамогранит! Техника Samsung, LG! 
В спальне 3х метровый встроенный шкаф! Встроенная Кухня крашеный МДФ! Рядом трц City plus, grand park! Magnum! Школы, садики, базары! Отличная развязка! Озеро Сайран! Продажа за наличный расчёт!"
https://krisha.kz//a/show/679186865,2,5,9,nan,nan,39.0,nan,Шугыла 590,монолитный,nan,nan,nan,2021,Nurly Dala,Алматы,Наурызбайский,nan,nan,nan,False,nan,nan,nan,nan,nan,False,nan,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,24500000,False,8,False,"Свежий ремонт, никто не жил, светлая, уютная, кухня Студио"
https://krisha.kz//a/show/677883375,2,15,17,Розыбакиева,320,50.0,nan,nan,монолитный,nan,nan,требует ремонта,2022,4YOU,Алматы,Бостандыкский,nan,nan,лоджия,True,nan,совмещенный,nan,nan,nan,False,3.0,False,True,False,False,False,True,True,True,False,True,True,False,False,True,False,False,False,False,True,False,False,50500000,False,10,False,"Пластиковые окна, неугловая, кухня-студия, тихий двор.
Срочная продажа квартиры за наличный расчет! бизнес класс! Передача ключей декабрь 2022г. окна на юг. Риэлторов просьба не беспокоить!"
https://krisha.kz//a/show/679191339,2,2,4,Спортивная,nan,50.0,nan,nan,кирпичный,nan,nan,хорошее,1974,nan,Алматы,Ауэзовский,nan,nan,nan,False,nan,nan,nan,nan,nan,False,nan,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,30000000,False,7,False,"Продается 2х комнатная квартира. Полностью меблирована, чистая, теплая, уютная квартира в развитом районе города. Вся мебель на фото остается, квартира после ремонта. Инфраструктура района очень разносторонне развита- рядом школы, детские сады, торговые точки, автобусы во все направления. Тихий двор, рядом парковые зоны. Документ в полном порядке, не заложена."
https://krisha.kz//a/show/676831769,4,14,15,nan,nan,159.0,nan,Мамыр-1 26,монолитный,20.0,nan,свободная планировка,2022,Megapolis,Алматы,Ауэзовский,nan,nan,лоджия,True,металлическая,2 с/у и более,паркинг,nan,nan,False,3.0,False,True,True,True,True,True,True,False,False,True,False,True,True,False,False,False,True,False,True,False,False,100000000,False,4,False,"Тихий двор, кладовка, пластиковые окна, улучшенная, комнаты изолированы.
4 ком. кв. ЖК мегаполис. 155кв. м. 14этаж из 15. Красивый вид на горы 180гр. Потолок 3м, понорамные окны, Рядом Метро, mall Sputnik, magnum, школы, садики… отдельно продаётся паркинг да 2 авто, + кладовка. Срок сдачи октябрь 2022г."
https://krisha.kz//a/show/676016559,2,2,3,Мкр Курамыс,78,66.23,Аль Фараби,nan,монолитный,nan,nan,nan,2022,Lancashire,Алматы,Наурызбайский,nan,nan,nan,False,nan,nan,nan,nan,nan,False,3.2,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,50000000,False,5,False,Продаётся 2х комнатная квартира. ЖК Lancashire. бизнес класс. Вид на горы. Свободная планировка. сдача ноябрь 2022.
https://krisha.kz//a/show/671393075,2,6,7,Талгарский тракт,6,66.6,nan,nan,монолитный,14.66,39.75,черновая отделка,2022,Besagash,Алматы,Медеуский,есть возможность подключения,nan,nan,False,металлическая,nan,паркинг,nan,nan,False,2.7,False,True,True,False,True,True,True,False,False,True,True,True,True,False,False,False,False,False,True,False,False,31499999,True,13,False,"Пластиковые окна, тихий двор, неугловая, улучшенная, комнаты изолированы.
Продается квартира в ЖК Бесагаш. 
ЖК отличного качества от надежного застройщика, всего 7 этажей (не человейник!), лифт, презентабельная входная группа, крутая внешняя отделка, красивый дизайн. 
ЖК Бесагаш расположен в 5 минутах от Восточки, в активно развивающемся районе с чистым воздухом и видом на горы. В шаговой доступности Magnum, рестораны, салоны, рынок. До школы и детского сада 15-20 минут ходьбы. 
Во дворе есть игровые площадки для детей различных возрастов, зоны для занятий физической культурой, территории для прогулок и отдыха с беседками и лавочками. 
более подробно со всеми фишками ЖК можно ознакомиться на сайте застройщика. 
 
Очень удобное расположение квартиры, окна смотрят на запад во двор и на восток, где, открывается красивый вид с 6 этажа, а также планируется наземный паркинг. Практичная планировка квартиры: комнаты изолированы, большая кухня, огромный санузел, где свободно можно совместить постирочную либо разделить на туалет и ванную комнату. 
Срочно! торг при осмотре. В подарок можем дать готовый дизайн-проект."
